,id,original_text,text,classification,rationale
991,1163,The film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,pos,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0]"
992,1164,"( Gosling 's ) combination of explosive physical energy and convincing intelligence helps create a complex , unpredictable character .","( gosling 's ) combination of explosive physical energy and convincing intelligence helps create a complex , unpredictable character .",pos,"[0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 1.0, 1.0, 0.0, 0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
993,1167,Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen .,fulford-wierzbicki ... deftly captures the wise-beyond-her-years teen .,pos,"[0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0]"
994,1168,A wild ride juiced with enough energy and excitement for at least three films .,a wild ride juiced with enough energy and excitement for at least three films .,pos,"[0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
995,1169,It 's a cool event for the whole family .,it 's a cool event for the whole family .,pos,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
996,1170,"Maybe not a classic , but a movie the kids will want to see over and over again .","maybe not a classic , but a movie the kids will want to see over and over again .",pos,"[0.0, 0.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
997,1171,The movie is not as terrible as the synergistic impulse that created it .,the movie is not as terrible as the synergistic impulse that created it .,neg,"[0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
998,1173,Less an examination of neo-Nazism than a probe into the nature of faith itself .,less an examination of neo-nazism than a probe into the nature of faith itself .,pos,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
999,1174,A moving and weighty depiction of one family 's attempts to heal after the death of a child .,a moving and weighty depiction of one family 's attempts to heal after the death of a child .,pos,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
1000,1175,I do n't think most of the people who loved the 1989 Paradiso will prefer this new version .,i do n't think most of the people who loved the 1989 paradiso will prefer this new version .,neg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
1001,1177,A zinger-filled crowd-pleaser that open-minded Elvis fans ( but by no means all ) will have fun with .,a zinger-filled crowd-pleaser that open-minded elvis fans ( but by no means all ) will have fun with .,pos,"[0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0]"
1002,1178,Diggs and Lathan are among the chief reasons Brown Sugar is such a sweet and sexy film .,diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film .,pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1003,1179,"Entirely suspenseful , extremely well-paced and ultimately ... dare I say , entertaining !","entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !",pos,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
1004,1180,The riveting performances by the incredibly flexible cast make Love a joy to behold .,the riveting performances by the incredibly flexible cast make love a joy to behold .,pos,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
1005,1181,"Terrific as Nadia , a Russian mail-order bride who comes to America speaking not a word of English , it 's Kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers .","terrific as nadia , a russian mail-order bride who comes to america speaking not a word of english , it 's kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers .",pos,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1006,1182,"With an unflappable air of decadent urbanity , Everett remains a perfect Wildean actor , and a relaxed Firth displays impeccable comic skill .","with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill .",pos,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.0]"
1007,1183,"The re-release of Ron Howard 's Apollo 13 in the IMAX format proves absolutely that really , really , really good things can come in enormous packages .","the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .",pos,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
1008,1184,Very well written and directed with brutal honesty and respect for its audience .,very well written and directed with brutal honesty and respect for its audience .,pos,"[0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1009,1185,Wonderful fencing scenes and an exciting plot make this an eminently engrossing film .,wonderful fencing scenes and an exciting plot make this an eminently engrossing film .,pos,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
1010,1186,"It 's pretty linear and only makeup-deep , but Bogdanovich ties it together with efficiency and an affection for the period .","it 's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period .",pos,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1011,1187,A surprisingly charming and even witty match for the best of Hollywood 's comic-book adaptations .,a surprisingly charming and even witty match for the best of hollywood 's comic-book adaptations .,pos,"[0.0, 0.5, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1012,1188,This is a superior horror flick .,this is a superior horror flick .,pos,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
1013,1189,Adaptation is simply brilliant .,adaptation is simply brilliant .,pos,"[0.0, 0.0, 0.0, 1.0, 0.0]"
1014,1190,"Smart and alert , Thirteen Conversations About One Thing is a small gem .","smart and alert , thirteen conversations about one thing is a small gem .",pos,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1015,1191,The pleasure of Read My Lips is like seeing a series of perfect black pearls clicking together to form a string .,the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string .,pos,"[0.0, 1.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
1016,1192,We 're drawn in by the dark luster .,we 're drawn in by the dark luster .,pos,"[0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0]"
1017,1193,A haunting tale of murder and mayhem .,a haunting tale of murder and mayhem .,pos,"[0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
1018,1194,I love the opening scenes of a wintry New York City in 1899 .,i love the opening scenes of a wintry new york city in 1899 .,pos,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
1019,1195,Cinematic poetry showcases the city 's old-world charm before machines change nearly everything .,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .,pos,"[1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1020,1196,"It 's hard to imagine anyone managing to steal a movie not only from charismatic rising star Jake Gyllenhaal but also from accomplished Oscar winners Susan Sarandon , Dustin Hoffman and Holly Hunter , yet newcomer Ellen Pompeo pulls off the feat with aplomb .","it 's hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1021,1197,One of the best rock documentaries ever .,one of the best rock documentaries ever .,pos,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1022,1198,Wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .,wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .,pos,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1023,1199,Ian Holm conquers France as an earthy Napoleon,ian holm conquers france as an earthy napoleon,pos,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0]"
1024,1200,"Offers big , fat , dumb laughs that may make you hate yourself for giving in .","offers big , fat , dumb laughs that may make you hate yourself for giving in .",neg,"[0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1025,1202,"( Sports ) admirable energy , full-bodied characterizations and narrative urgency .","( sports ) admirable energy , full-bodied characterizations and narrative urgency .",pos,"[0.5, 0.5, 0.5, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1026,1204,Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .,directors brett morgen and nanette burstein have put together a bold biographical fantasia .,pos,"[0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1027,1205,"The subtitled costume drama is set in a remote African empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .","the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .",pos,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0]"
1028,1206,A tremendous piece of work .,a tremendous piece of work .,pos,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1029,1207,"A delightful , if minor , pastry of a movie .","a delightful , if minor , pastry of a movie .",pos,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1030,1208,"While obviously aimed at kids , The Country Bears ... should keep parents amused with its low groan-to-guffaw ratio .","while obviously aimed at kids , the country bears ... should keep parents amused with its low groan-to-guffaw ratio .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0]"
1031,1209,LaBute masterfully balances both Traditional or Modern stories together in a manner that one never overwhelms the other .,labute masterfully balances both traditional or modern stories together in a manner that one never overwhelms the other .,pos,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1032,1210,Something for everyone .,something for everyone .,pos,"[1.0, 1.0, 1.0, 0.0]"
1033,1211,Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .,irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .,pos,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1034,1213,Leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing .,leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing .,pos,"[0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1035,1214,"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .","not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0]"
1036,1215,"` Film aficionados can not help but love Cinema Paradiso , whether the original version or new Director 's Cut . '","` film aficionados can not help but love cinema paradiso , whether the original version or new director 's cut . '",pos,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
1037,1216,A fascinating glimpse into an insular world that gives the lie to many clichés and showcases a group of dedicated artists .,a fascinating glimpse into an insular world that gives the lie to many clichés and showcases a group of dedicated artists .,pos,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
1038,1217,It 's one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads .,it 's one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads .,neg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1039,1219,Contradicts everything we 've come to expect from movies nowadays .,contradicts everything we 've come to expect from movies nowadays .,pos,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0]"
1040,1220,"Instead of simply handling conventional material in a conventional way , Secretary takes the most unexpected material and handles it in the most unexpected way .","instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way .",pos,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0]"
1041,1221,Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?,could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,pos,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1042,1223,"Murderous Maids has a lot going for it , not least the brilliant performances by Testud ... and Parmentier .","murderous maids has a lot going for it , not least the brilliant performances by testud ... and parmentier .",pos,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1043,1224,"Filmmaker Stacy Peralta has a flashy editing style that does n't always jell with Sean Penn 's monotone narration , but he respects the material without sentimentalizing it .","filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
1044,1225,"There are a couple of things that elevate `` Glory '' above most of its ilk , most notably the mere presence of Duvall .","there are a couple of things that elevate `` glory '' above most of its ilk , most notably the mere presence of duvall .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1045,1226,"It 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet I found it weirdly appealing .","it 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing .",pos,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0]"
1046,1227,( Rises ) above its oh-so-Hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism .,( rises ) above its oh-so-hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism .,pos,"[0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1047,1228,"A breezy blend of art , history , esoteric musings and philosophy .","a breezy blend of art , history , esoteric musings and philosophy .",pos,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
1048,1229,"Kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .","kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .",pos,"[0.5, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.5, 1.0, 0.0]"
1049,1231,"Leaping from one arresting image to another , Songs from the Second Floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .","leaping from one arresting image to another , songs from the second floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .",pos,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1050,1233,The performances are uniformly good .,the performances are uniformly good .,pos,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
1051,1234,"She 's all-powerful , a voice for a pop-cyber culture that feeds on her Bjorkness .","she 's all-powerful , a voice for a pop-cyber culture that feeds on her bjorkness .",pos,"[0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1052,1235,It 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .,it 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .,pos,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
1053,1237,"The story line may be 127 years old , but El Crimen del Padre Amaro ... could n't be more timely in its despairing vision of corruption within the Catholic establishment .","the story line may be 127 years old , but el crimen del padre amaro ... could n't be more timely in its despairing vision of corruption within the catholic establishment .",pos,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1054,1238,This in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .,this in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .,pos,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1055,1239,It shows us a slice of life that 's very different from our own and yet instantly recognizable .,it shows us a slice of life that 's very different from our own and yet instantly recognizable .,pos,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
1056,1240,A wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .,a wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .,pos,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
1057,1242,"Leave it to John Sayles to take on developers , the Chamber of Commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .","leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .",pos,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1058,1243,Reign of Fire just might go down as one of the all-time great apocalypse movies .,reign of fire just might go down as one of the all-time great apocalypse movies .,pos,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
1059,1244,A smart little indie .,a smart little indie .,pos,"[0.0, 1.0, 0.0, 0.5, 0.5]"
1060,1245,"Payne has created a beautiful canvas , and Nicholson proves once again that he 's the best brush in the business .","payne has created a beautiful canvas , and nicholson proves once again that he 's the best brush in the business .",pos,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.5, 0.0]"
1061,1246,"Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .","try as you might to resist , if you 've got a place in your heart for smokey robinson , this movie will worm its way there .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0]"
1062,1247,"A riveting profile of law enforcement , and a visceral , nasty journey into an urban Hades .","a riveting profile of law enforcement , and a visceral , nasty journey into an urban hades .",pos,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0]"
1063,1248,Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,neg,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1064,1249,"Stands as a document of what it felt like to be a New Yorker -- or , really , to be a human being -- in the weeks after 9/11 .","stands as a document of what it felt like to be a new yorker -- or , really , to be a human being -- in the weeks after 9/11 .",pos,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1065,1250,"I am not generally a huge fan of cartoons derived from TV shows , but Hey Arnold !","i am not generally a huge fan of cartoons derived from tv shows , but hey arnold !",pos,"[0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1066,1251,"The Movie is clever , offbeat and even gritty enough to overcome my resistance .","the movie is clever , offbeat and even gritty enough to overcome my resistance .",pos,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0]"
1067,1253,"It 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics .","it 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics .",pos,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1068,1254,"Slow and ponderous , but Rohmer 's drama builds to an intense indoor drama about compassion , sacrifice , and Christian love in the face of political corruption .","slow and ponderous , but rohmer 's drama builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption .",pos,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
